                       STATION NAME                  DATE           PRCP      TMAX      TMIN
                          MONTGOMERY AIRPORT AL      2018 03 05     0.02      45.50     40.64
                          MONTGOMERY AIRPORT AL      2018 03 06     0.82      44.24     40.82
                          MONTGOMERY AIRPORT AL      2018 03 07     0.00      42.08     38.66
                          MONTGOMERY AIRPORT AL      2018 03 08     0.00      42.26     37.76
                          MONTGOMERY AIRPORT AL      2018 03 09     0.00      43.70     37.40
                          MONTGOMERY AIRPORT AL      2018 03 10     0.01      45.32     39.92
                          MONTGOMERY AIRPORT AL      2018 03 11     0.97      43.16     41.54
                          MONTGOMERY AIRPORT AL      2018 03 12     0.00      42.62     39.38
                          MONTGOMERY AIRPORT AL      2018 03 13     0.00      42.98     38.48
                          MONTGOMERY AIRPORT AL      2018 03 14     0.00      42.62     38.48
                          MONTGOMERY AIRPORT AL      2018 03 15     0.00      44.42     37.40
